name,address,city,state
St Margaret School of Nursing,"221 Seventh Street, Suite 100",Pittsburgh,Pennsylvania
Lutheran Theological Seminary at Gettysburg,61 Seminary Ridge,Gettysburg,Pennsylvania
Lutheran Theological Seminary at Philadelphia,7301 Germantown Ave,Philadelphia,Pennsylvania
Luzerne County Community College,1333 South Prospect Street,Nanticoke,Pennsylvania
Lycoming College,700 College Place,Williamsport,Pennsylvania
Erie Business Center-New Castle,170 Cascade Galleria,New Castle,Pennsylvania
Manor College,700 Fox Chase Rd,Jenkintown,Pennsylvania
Mansfield University of Pennsylvania,Academy Street,Mansfield,Pennsylvania
Marywood University,2300 Adams Ave,Scranton,Pennsylvania
Vet Tech Institute,125 Seventh St,Pittsburgh,Pennsylvania
Roxborough Memorial Hospital School of Nursing,5800 Ridge Ave,Philadelphia,Pennsylvania
Mercyhurst University,501 E 38th St,Erie,Pennsylvania
Messiah College,One College Ave,Mechanicsburg,Pennsylvania
Metropolitan Career Center Computer Technology Institute,"100 South Broad Street, Suite 830",Philadelphia,Pennsylvania
Millersville University of Pennsylvania,"1 South George Street, Lyle Hall",Millersville,Pennsylvania
Misericordia University,301 Lake St,Dallas,Pennsylvania
Montgomery County Community College,340 Dekalb Pike,Blue Bell,Pennsylvania
Moore College of Art and Design,20th and the Parkway,Philadelphia,Pennsylvania
Moravian College,1200 Main St,Bethlehem,Pennsylvania
Mount Aloysius College,7373 Admiral Peary Hwy,Cresson,Pennsylvania
Muhlenberg College,2400 Chew Street,Allentown,Pennsylvania
Kaplan Career Institute-Philadelphia,3010 Market Street,Philadelphia,Pennsylvania
Neumann University,One Neumann Drive,Aston,Pennsylvania
New Castle School of Trades,4177 Pulaksi Road,New Castle,Pennsylvania
Newport Business Institute-Lower Burrell,945 Greensburg Rd,Lower Burrell,Pennsylvania
Northampton County Area Community College,3835 Green Pond Rd,Bethlehem,Pennsylvania
Orleans Technical Institute,2770 Red Lion Road,Philadelphia,Pennsylvania
Salus University,8360 Old York Rd,Elkins Park,Pennsylvania
Pennsylvania Institute of Technology,800 Manchester Ave,Media,Pennsylvania
Pennsylvania State University-Penn State Erie-Behrend College,4701 College Drive,Erie,Pennsylvania
Pennsylvania State University-Penn State Great Valley,30 East Swedesford Road,Malvern,Pennsylvania
Pennsylvania State University-College of Medicine,500 University Drive,Hershey,Pennsylvania
Pennsylvania State University-Penn State New Kensington,3550 Seventh Street Road,New Kensington,Pennsylvania
Pennsylvania State University-Penn State Shenango,147 Shenango Avenue,Sharon,Pennsylvania
Pennsylvania State University-Penn State Wilkes-Barre,Old Route 115,Lehman,Pennsylvania
Pennsylvania State University-Penn State Worthington Scranton,120 Ridge View Drive,Dunmore,Pennsylvania
Pennsylvania State System of Higher Education-Central Office,2986 N 2nd St Dixon Univ Center,Harrisburg,Pennsylvania
Pennsylvania State University-Penn State Lehigh Valley,2809 Saucon Valley Road,Center Valley,Pennsylvania
Pennsylvania State University-Penn State Altoona,3000 Ivyside Park,Altoona,Pennsylvania
Pennsylvania State University-Penn State Beaver,100 University Drive,Monaca,Pennsylvania
Pennsylvania State University-Penn State Berks,Tulpehocken Road,Reading,Pennsylvania
Pennsylvania State University-Penn State Harrisburg,777 West Harrisburg Pike,Middletown,Pennsylvania
Pennsylvania State University-Penn State Brandywine,25 Yearsley Mill Road,Media,Pennsylvania
Pennsylvania State University-Penn State Dubois,1 College Place,DuBois,Pennsylvania
Pennsylvania State University-Penn State Fayette- Eberly,2201 University Drive,Lemont Furnace,Pennsylvania
Pennsylvania State University-Penn State Hazleton,76 University Drive,Hazleton,Pennsylvania
Pennsylvania State University-Main Campus,201 Old Main,University Park,Pennsylvania
Pennsylvania State University-Penn State Greater Allegheny,4000 University Drive,McKeesport,Pennsylvania
Pennsylvania State University-Penn State Mont Alto,1 Campus Drive,Mont Alto,Pennsylvania
Pennsylvania State University-Penn State Abington,1600 Woodland Road,Abington,Pennsylvania
Pennsylvania State University-Penn State Schuylkill,200 University Drive,Schuylkill Haven,Pennsylvania
Pennsylvania State University-Penn State York,1031 Edgecomb Avenue,York,Pennsylvania
Pace Institute,606 Court St  Suite 404,Reading,Pennsylvania
Peirce College,1420 Pine Street,Philadelphia,Pennsylvania
Penn Commercial Business/Technical School,242 Oak Spring Road,Washington,Pennsylvania
Pennco Tech-Bristol,3815 Otter St,Bristol,Pennsylvania
Pennsylvania Academy of the Fine Arts,128 N. Broad Street,Philadelphia,Pennsylvania
Pennsylvania Gunsmith School,812 Ohio River Blvd,Pittsburgh,Pennsylvania
Pennsylvania College of Art and Design,204 N Prince St,Lancaster,Pennsylvania
University of Pennsylvania,34th & Spruce Street,Philadelphia,Pennsylvania
Philadelphia University,4201 Henry Avenue,Philadelphia,Pennsylvania
The University of the Arts,320 South Broad St,Philadelphia,Pennsylvania
Cairn University-Langhorne,200 Manor Ave,Langhorne,Pennsylvania
Philadelphia College of Osteopathic Medicine,4170 City Ave,Philadelphia,Pennsylvania
University of the Sciences,600 S 43rd Street,Philadelphia,Pennsylvania
Community College of Philadelphia,1700 Spring Garden St,Philadelphia,Pennsylvania
University of Pittsburgh-Bradford,300 Campus Drive,Bradford,Pennsylvania
University of Pittsburgh-Greensburg,150 Finoli Drive,Greensburg,Pennsylvania
University of Pittsburgh-Johnstown,450 Schoolhouse Road,Johnstown,Pennsylvania
University of Pittsburgh-Pittsburgh Campus,4200 Fifth Avenue,Pittsburgh,Pennsylvania
University of Pittsburgh-Titusville,504 East Main Street,Titusville,Pennsylvania
Pittsburgh Institute of Aeronautics,5 Allegheny County Airport,West Mifflin,Pennsylvania
Pittsburgh Institute of Mortuary Science Inc,5808 Baum Blvd,Pittsburgh,Pennsylvania
Pittsburgh Technical Institute,1111 McKee Road,Oakdale,Pennsylvania
Pittsburgh Theological Seminary,616 N Highland Ave,Pittsburgh,Pennsylvania
Prism Career Institute-Upper Darby,6800 Market Street,Upper Darby,Pennsylvania
Point Park University,201 Wood St,Pittsburgh,Pennsylvania
Joseph F McCloskey School of Nursing at Schuylkill Health,450 Washington and Jackson St,Pottsville,Pennsylvania
Reading Area Community College,10 S Second St,Reading,Pennsylvania
Reading Hospital School of Health Sciences,1025 Old Wyomissing Road,Reading,Pennsylvania
Reconstructionist Rabbinical College,1299 Church Rd,Wyncote,Pennsylvania
Reformed Presbyterian Theological Seminary,7418 Penn Ave,Pittsburgh,Pennsylvania
The Restaurant School at Walnut Hill College,4207 Walnut St,Philadelphia,Pennsylvania
Kaplan Career Institute-Broomall,1991 Sproul Road Suite 42,Broomall,Pennsylvania
Robert Morris University,6001 University Boulevard,Moon Township,Pennsylvania
Rosedale Technical Institute,"215 Beecham  Drive, Suite 2",Pittsburgh,Pennsylvania
Rosemont College,1400 Montgomery Ave,Rosemont,Pennsylvania
Saint Francis University,117 Evergreen Dr,Loretto,Pennsylvania
Saint Joseph's University,5600 City Avenue,Philadelphia,Pennsylvania
Saint Vincent College,300 Fraser Purchase Rd,Latrobe,Pennsylvania
Saint Vincent Seminary,300 Fraser Purchase Rd,Latrobe,Pennsylvania
University of Scranton,800 Linden Street,Scranton,Pennsylvania
Seton Hill University,1 Seton Hill Dr,Greensburg,Pennsylvania
Heritage Valley Sewickley School of Nursing,"420 Rouser Road, Suite 101",Moon Twp,Pennsylvania
University of Pittsburgh Medical Center-Shadyside School of Nursing,5230 Centre Ave,Pittsburgh,Pennsylvania
Laurel Technical Institute,200 Sterling Avenue,Sharon,Pennsylvania
Shippensburg University of Pennsylvania,1871 Old Main Drive,Shippensburg,Pennsylvania
Slippery Rock University of Pennsylvania,1 Morrow Way,Slippery Rock,Pennsylvania
Saint Charles Borromeo Seminary-Overbrook,100 East Wynnewood Road,Wynnewood,Pennsylvania
South Hills School of Business & Technology,480 Waupelani Dr,State College,Pennsylvania
St Lukes Hospital School of Nursing,801 Ostrum Street,Bethlehem,Pennsylvania
Susquehanna University,514 University Ave,Selinsgrove,Pennsylvania
Swarthmore College,500 College Ave,Swarthmore,Pennsylvania
Thaddeus Stevens College of Technology,750 E King St,Lancaster,Pennsylvania
Talmudical Yeshiva of Philadelphia,6063 Drexel Rd,Philadelphia,Pennsylvania
Temple University,1801 North Broad Street,Philadelphia,Pennsylvania
Theological Seminary of the Reformed Episcopal Church,826 Second Avenue,Blue Bell,Pennsylvania
Thiel College,75 College Ave,Greenville,Pennsylvania
Thomas Jefferson University,1020 Walnut Street,Philadelphia,Pennsylvania
Fortis Institute-Erie,5757 W 26th St,Erie,Pennsylvania
Triangle Tech Inc-Erie,2000 Liberty St,Erie,Pennsylvania
Triangle Tech Inc-Pittsburgh,1940 Perrysville Avenue,Pittsburgh,Pennsylvania
Triangle Tech Inc-Greensburg,222 E Pittsburgh St Ste A,Greensburg,Pennsylvania
Triangle Tech Inc-Dubois,225 Tannery Row Road,DuBois,Pennsylvania
Trinity Episcopal School for Ministry,311 Eleventh St,Ambridge,Pennsylvania
Ursinus College,601 E. Main St,Collegeville,Pennsylvania
Valley Forge Christian College,1401 Charlestown Road,Phoenixville,Pennsylvania
Valley Forge Military College,1001 Eagle Rd,Wayne,Pennsylvania
Villanova University,800 Lancaster Avenue,Villanova,Pennsylvania
Washington Hospital School of Nursing,155 Wilson Ave,Washington,Pennsylvania
Washington Hospital School of Radiography,155 Wilson Ave,Washington,Pennsylvania
Washington & Jefferson College,60 S Lincoln St,Washington,Pennsylvania
Waynesburg University,51 W College St,Waynesburg,Pennsylvania
West Chester University of Pennsylvania,University Avenue and High Street,West Chester,Pennsylvania
Western Pennsylvania Hospital School of Nursing,4900 Friendship Ave,Pittsburgh,Pennsylvania
Sanford-Brown Institute-Pittsburgh,421 Seventh Avenue,Pittsburgh,Pennsylvania
Westminster College,319 South Market  Street,New Wilmington,Pennsylvania
Westminster Theological Seminary,2960 W Church Rd,Glenside,Pennsylvania
Westmoreland County Community College,145 Pavilion Lane,Youngwood,Pennsylvania
Widener University-Main Campus,One University Place,Chester,Pennsylvania
Wilkes University,84 West South Street,Wilkes-Barre,Pennsylvania
Newport Business Institute-Williamsport,941 W 3rd St,Williamsport,Pennsylvania
Wilson College,1015 Philadelphia Ave,Chambersburg,Pennsylvania
Yeshivath Beth Moshe,930 Hickory St,Scranton,Pennsylvania
York College Pennsylvania,441 Country Club Rd,York,Pennsylvania
YTI Career Institute-York,1405 Williams Road,York,Pennsylvania
Yorktowne Business Institute,W Seventh Ave,York,Pennsylvania
Brown University,One Prospect Street,Providence,Rhode Island
Bryant University,1150 Douglas Pike,Smithfield,Rhode Island
Johnson & Wales University-Providence,8 Abbott Park Place,Providence,Rhode Island
Sanford-Brown Institute-Cranston,85 Garfield Avenue,Cranston,Rhode Island
New England Institute of Technology,One New England Tech Boulevard,East Greenwich,Rhode Island
Providence College,1 Cunningham Square,Providence,Rhode Island
Rhode Island College,600 Mount Pleasant Ave,Providence,Rhode Island
Community College of Rhode Island,400 East Ave,Warwick,Rhode Island
University of Rhode Island,"Green Hall, 35 Campus Avenue",Kingston,Rhode Island
Rhode Island School of Design,2 College St,Providence,Rhode Island
Roger Williams University,One Old Ferry Road,Bristol,Rhode Island
Salve Regina University,100 Ochre Point Avenue,Newport,Rhode Island
St Joseph School of Nursing,200 High Service Avenue,North Providence,Rhode Island
Northpoint Bible College,320 South Main Street,Haverhill,Massachusetts
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,South Carolina
Allen University,1530 Harden Street,Columbia,South Carolina
Anderson University,316 Boulevard,Anderson,South Carolina
Charleston Southern University,9200 University Blvd,Charleston,South Carolina
Technical College of the Lowcountry,921 Ribaut Road,Beaufort,South Carolina
Benedict College,1600 Harden Street,Columbia,South Carolina
Bob Jones University,1700 Wade Hampton Boulavard,Greenville,South Carolina
Southern Wesleyan University,907 Wesleyan Drive,Central,South Carolina
College of Charleston,66 George St,Charleston,South Carolina
Northeastern Technical College,1201 Chesterfield Hwy.,Cheraw,South Carolina
Citadel Military College of South Carolina,171 Moultrie St,Charleston,South Carolina
Claflin University,400 Magnolia Street,Orangeburg,South Carolina
Clemson University,201 Sikes Hall,Clemson,South Carolina
Clinton College,1029 Crawford Rd,Rock Hill,South Carolina
Coker College,300 E College Ave,Hartsville,South Carolina
Columbia International University,7435 Monticello Rd,Columbia,South Carolina
Columbia College,1301 Columbia College Dr,Columbia,South Carolina
Converse College,580 E Main St,Spartanburg,South Carolina
Denmark Technical College,1126 Solomon Blatt Blvd,Denmark,South Carolina
Erskine College,2 Washington St,Due West,South Carolina
Florence-Darlington Technical College,2715 W. Lucas Street,Florence,South Carolina
Forrest College,601 E River Street,Anderson,South Carolina
Francis Marion University,4822 East Palmetto Street,Florence,South Carolina
Furman University,3300 Poinsett Highway,Greenville,South Carolina
Cathedral Bible College,803 Howard Avenue,Myrtle Beach,South Carolina
Greenville Technical College,738 S Pleasantburg Dr,Greenville,South Carolina
Horry-Georgetown Technical College,2050 Highway 501 East,Conway,South Carolina
Lander University,320 Stanley Avenue,Greenwood,South Carolina
Limestone College,1115 College Drive,Gaffney,South Carolina
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,4201 Main St,Columbia,South Carolina
Medical University of South Carolina,179 Ashley Ave,Charleston,South Carolina
Midlands Technical College,1260 Lexington Drive,West Columbia,South Carolina
Morris College,100 West College Street,Sumter,South Carolina
Newberry College,2100 College St,Newberry,South Carolina
North Greenville University,7801 N. Tigerville Road,Tigerville,South Carolina
Orangeburg Calhoun Technical College,3250 Saint Matthews Rd,Orangeburg,South Carolina
Piedmont Technical College,620 North Emerald Road,Greenwood,South Carolina
Presbyterian College,503 South Broad Street,Clinton,South Carolina
University of South Carolina-Aiken,471 University Pkwy,Aiken,South Carolina
University of South Carolina-Beaufort,1 University Boulevard,Bluffton,South Carolina
University of South Carolina-Columbia,Columbia-Campus,Columbia,South Carolina
University of South Carolina-Lancaster,476 Hubbard Drive,Lancaster,South Carolina
University of South Carolina-Salkehatchie,465 James Brandt Blvd,Allendale,South Carolina
University of South Carolina-Sumter,200 Miller Rd,Sumter,South Carolina
University of South Carolina-Union,309 East Academy St,Union,South Carolina
Coastal Carolina University,103 Tom Trout Drive,Conway,South Carolina
South Carolina State University,300 College St NE,Orangeburg,South Carolina
University of South Carolina-Upstate,800 University Way,Spartanburg,South Carolina
Sherman College of Straight Chiropractic,2020 Springfield Rd,Spartanburg,South Carolina
Spartanburg Methodist College,1000 Powell Mill Road,Spartanburg,South Carolina
Spartanburg Community College,107 Community College Drive,Spartanburg,South Carolina
Central Carolina Technical College,506 N Guignard Dr,Sumter,South Carolina
Tri-County Technical College,7900 U.S. Hwy 76,Pendleton,South Carolina
Trident Technical College,7000 Rivers Avenue,Charleston,South Carolina
Voorhees College,481 Porter Drive,Denmark,South Carolina
Williamsburg Technical College,601 Martin Luther King Jr Ave,Kingstree,South Carolina
Winthrop University,701 Oakland Ave,Rock Hill,South Carolina
Wofford College,429 N Church St,Spartanburg,South Carolina
York Technical College,452 S Anderson Rd,Rock Hill,South Carolina
Augustana College,2001 S Summit Ave,Sioux Falls,South Dakota
Black Hills Beauty College,623 Saint Joe,Rapid City,South Dakota
Black Hills State University,1200 University St,Spearfish,South Dakota
Kilian Community College,300 E. 6th Street,Sioux Falls,South Dakota
Dakota State University,820 N Washington Ave,Madison,South Dakota
Dakota Wesleyan University,1200 W University Ave,Mitchell,South Dakota
Headlines Academy Inc,333 Omaha St. Suite 7,Rapid City,South Dakota
Lake Area Technical Institute,1201 Arrow Avenue,Watertown,South Dakota
Avera McKennan Hospital School of Radiologic Technology,1325 South Cliff Avenue,Sioux Falls,South Dakota
Mitchell Technical Institute,1800 E. Spruce Street,Mitchell,South Dakota
Mount Marty College,1105 W. 8th Street,Yankton,South Dakota
National American University-Rapid City,5301 South Highway 16,Rapid City,South Dakota
National American University-Sioux Falls,5801 South Corporate Place,Sioux Falls,South Dakota
Sioux Falls Seminary,2100 S Summit Ave,Sioux Falls,South Dakota
Northern State University,1200 S Jay St,Aberdeen,South Dakota
Oglala Lakota College,490 Piya Wiconi Road,Kyle,South Dakota
Presentation College,1500 N Main,Aberdeen,South Dakota
Avera Sacred Heart Hospital,501 Summit,Yankton,South Dakota
South Dakota School of Mines and Technology,501 E Saint Joseph St,Rapid City,South Dakota
South Dakota State University,Administration Lane,Brookings,South Dakota
Sinte Gleska University,"E. Highway 18,  101 Antelope Lake Circle",Mission,South Dakota
University of Sioux Falls,1101 W 22nd St,Sioux Falls,South Dakota
Sanford Medical Center,1305 W. 18th Street,Sioux Falls,South Dakota
Sisseton Wahpeton College,BIA Rd 700,Sisseton,South Dakota
Southeast Technical Institute,2320 N Career Ave,Sioux Falls,South Dakota
Stewart School,604 N. West Ave.,Sioux Falls,South Dakota
University of South Dakota,414 E Clark St,Vermillion,South Dakota
Western Dakota Technical Institute,800 Mickelson Dr,Rapid City,South Dakota
American Baptist College,1800 Baptist World Ctr Dr,Nashville,Tennessee
Aquinas College,4210 Harding Pike,Nashville,Tennessee
Tennessee College of Applied Technology-Athens,1635 Vo Tech Dr,Athens,Tennessee
Austin Peay State University,601 College St,Clarksville,Tennessee
Baptist Memorial College of Health Sciences,1003 Monroe Ave,Memphis,Tennessee
Belmont University,1900 Belmont Blvd,Nashville,Tennessee
Bethel University,325 Cherry Ave,McKenzie,Tennessee
Bryan College-Dayton,721 Bryan Drive,Dayton,Tennessee
Carson-Newman University,1646 S Russell Ave,Jefferson City,Tennessee
Chattanooga State Community College,4501 Amnicola Hwy,Chattanooga,Tennessee
Christian Brothers University,650 East Parkway South,Memphis,Tennessee
Pentecostal Theological Seminary,900 Walker St NE,Cleveland,Tennessee
Cleveland State Community College,3535 Adkisson Drive,Cleveland,Tennessee
Columbia State Community College,1665 Hampshire Pike,Columbia,Tennessee
Concorde Career College-Memphis,"5100 Poplar Avenue, Suite 132",Memphis,Tennessee
Tennessee College of Applied Technology-Covington,1600 Hwy 51 South,Covington,Tennessee
Cumberland University,1 Cumberland Square,Lebanon,Tennessee
Lipscomb University,One University Park Drive,Nashville,Tennessee
Tennessee College of Applied Technology-Dickson,740 Hwy 46,Dickson,Tennessee
Daymar Institute-Nashville,340 Plus Park Blvd,Nashville,Tennessee
Dyersburg State Community College,1510 Lake Rd,Dyersburg,Tennessee
East Tennessee State University,,Johnson City,Tennessee
Chattanooga College Medical Dental and Technical Careers,3805 Brainerd Rd,Chattanooga,Tennessee
Tennessee College of Applied Technology-Elizabethton,426 Highway 91,Elizabethton,Tennessee
Emmanuel Christian Seminary,One Walker Dr,Johnson City,Tennessee
Fisk University,1000 17th Ave North,Nashville,Tennessee
Welch College,3606 West End Ave,Nashville,Tennessee
Freed-Hardeman University,158 E Main St,Henderson,Tennessee
Tennessee College of Applied Technology-Harriman,1745 Harriman Highway,Harriman,Tennessee
Tennessee College of Applied Technology-Hartsville,716 McMurry Blvd East,Hartsville,Tennessee
Hiwassee College,225 Hiwassee College Drive,Madisonville,Tennessee
Tennessee College of Applied Technology-Hohenwald,813 West Main,Hohenwald,Tennessee
Tennessee College of Applied Technology-Jacksboro,265 Elkins Rd,Jacksboro,Tennessee
Jackson State Community College,2046 North Pky,Jackson,Tennessee
John A Gupton College,1616 Church St,Nashville,Tennessee
Johnson University,7900 Johnson Dr,Knoxville,Tennessee
King University,1350 King College Rd,Bristol,Tennessee
South College,3904 Lonas Road,Knoxville,Tennessee
Lane College,545 Lane Ave,Jackson,Tennessee
Le Moyne-Owen College,807 Walker Ave,Memphis,Tennessee
Lee University,1120 N Ocoee St,Cleveland,Tennessee
Lincoln Memorial University,6965 Cumberland Gap Pkwy,Harrogate,Tennessee
Tennessee College of Applied Technology-Livingston,740 Hi Tech Dr,Livingston,Tennessee
Martin Methodist College,433 West Madison Street,Pulaski,Tennessee
Maryville College,502 E Lamar Alexander Pky,Maryville,Tennessee
Tennessee College of Applied Technology-McKenzie,16940 Highland Dr,McKenzie,Tennessee
Meharry Medical College,1005 DB Todd Blvd.,Nashville,Tennessee
Memphis College of Art,1930 Poplar Ave,Memphis,Tennessee
Tennessee College of Applied Technology-Memphis,550 Alabama Ave,Memphis,Tennessee
University of Memphis,Southern Avenue,Memphis,Tennessee
Memphis Theological Seminary,168 East Parkway South,Memphis,Tennessee
Victory University,255 N. Highland St.,Memphis,Tennessee
Middle Tennessee State University,1301 East Main Street,Murfreesboro,Tennessee
Middle Tennessee School of Anesthesia Inc,315 Hospital Drive,Madison,Tennessee
Milligan College,1 Blowers Blvd.,Milligan College,Tennessee
Tennessee College of Applied Technology-Morristown,821 W Louise Ave,Morristown,Tennessee
Motlow State Community College,6015 Ledford Mill Road,Tullahoma,Tennessee
Tennessee College of Applied Technology-Murfreesboro,1303 Old Fort Pky,Murfreesboro,Tennessee
Lincoln College of Technology-Nashville,1524 Gallatin Rd,Nashville,Tennessee
Nashville State Community College,120 White Bridge Rd,Nashville,Tennessee
Tennessee College of Applied Technology-Newbern,340 Washington St,Newbern,Tennessee
O'More College of Design,423 S Margin St,Franklin,Tennessee
Tennessee College of Applied Technology-Paris,312 S Wilson Street,Paris,Tennessee
Tennessee College of Applied Technology-Pulaski,1233 E College St,Pulaski,Tennessee
Rhodes College,2000 North Parkway,Memphis,Tennessee
Tennessee College of Applied Technology-Ripley,127 Industrial Drive,Ripley,Tennessee
Roane State Community College,276 Patton Lane,Harriman,Tennessee
Tennessee College of Applied Technology-Crump,3070 Hwy. 64 West,Crump,Tennessee
Southwest Tennessee Community College,737 Union Avenue,Memphis,Tennessee
Tennessee College of Applied Technology-Shelbyville,1405 Madison St,Shelbyville,Tennessee
Sewanee-The University of the South,735 University Avenue,Sewanee,Tennessee
Tennessee College of Applied Technology-Oneida-Huntsville,355 Scott High Drive,Huntsville,Tennessee
Tennessee College of Applied Technology-Crossville,910 Miller Avenue,Crossville,Tennessee
Tennessee College of Applied Technology-McMinnville,241 Vo Tech Dr,McMinnville,Tennessee
Tennessee College of Applied Technology-Jackson,2468 Technology Center Drive,Jackson,Tennessee
Tennessee College of Applied Technology-Knoxville,1100 Liberty St,Knoxville,Tennessee
Tennessee College of Applied Technology-Whiteville,1685 Highway 64,Whiteville,Tennessee
Pellissippi State Community College,10915 Hardin Valley Road,Knoxville,Tennessee
Southern Adventist University,4881 Taylor Cir,Collegedale,Tennessee
Southern College of Optometry,1245 Madison Ave,Memphis,Tennessee
Tennessee Wesleyan College,204 East College Street,Athens,Tennessee
The University of Tennessee-Chattanooga,615 McCallie Ave,Chattanooga,Tennessee
The University of Tennessee-Knoxville,527 Andy Holt Tower,Knoxville,Tennessee
The University of Tennessee-Martin,544 University Street,Martin,Tennessee
Fountainhead College of Technology,10208 Technology Drive,Knoxville,Tennessee
Tennessee State University,3500 John A. Merritt Blvd,Nashville,Tennessee
Tennessee Technological University,1 William L. Jones Drive,Cookeville,Tennessee
Tennessee Temple University,1815 Union Ave,Chattanooga,Tennessee
Trevecca Nazarene University,333 Murfreesboro Rd,Nashville,Tennessee
Northeast State Community College,2425 Hwy 75,Blountville,Tennessee
Tusculum College,60 Shiloh Road,Greeneville,Tennessee
Union University,1050 Union University Dr,Jackson,Tennessee
Vanderbilt University,2101 West End Avenue,Nashville,Tennessee
Volunteer State Community College,1480 Nashville Pike,Gallatin,Tennessee
Walters State Community College,500 South Davy Crockett Parkway,Morristown,Tennessee
West Tennessee Business College,1186 Highway 45 Bypass,Jackson,Tennessee
William Moore College of Technology,1200 Poplar  Ave,Memphis,Tennessee
Abilene Christian University,1600 Campus Court,Abilene,Texas
Alamo Community College District Central Office,201 W. Sheridan,San Antonio,Texas
Alvin Community College,3110 Mustang Rd,Alvin,Texas
Amarillo College,2011 S. Washington,Amarillo,Texas
Amberton University,1700 Eastgate Dr,Garland,Texas
Angelina College,3500 South First,Lufkin,Texas
Angelo State University,2601 W. Avenue N,San Angelo,Texas
Arlington Baptist College,3001 W Division,Arlington,Texas
Arlington Career Institute,901 Ave K,Grand Prairie,Texas
The Art Institute of Houston,"River Oaks Plaza, 4140 Southwest Freeway",Houston,Texas
Austin College,900 N Grand Ave,Sherman,Texas
Austin Community College District,5930 Middle Fiskville Rd,Austin,Texas
Austin Presbyterian Theological Seminary,100 E 27th St,Austin,Texas
Baptist Health System School of Health Professions,8400 Datapoint Dr,San Antonio,Texas
Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,Texas
Texas A & M University Health Science Center,"8441 State Hwy 47, Clinical Building 1 - Suite 3100",Bryan,Texas
Baylor College of Medicine,One Baylor Plaza,Houston,Texas
Baylor University,500 Speight Ave.,Waco,Texas
Coastal Bend College,3800 Charco Rd,Beeville,Texas
Blinn College,902 College Ave,Brenham,Texas
Remington College-Dallas Campus,1800 Eastgate Dr,Garland,Texas
Vet Tech Institute of Houston,4669 Southwest Fwy Ste 100,Houston,Texas
Brazosport College,500 College Dr,Lake Jackson,Texas
Brookhaven College,3939 Valley View Ln,Farmers Branch,Texas
Capitol City Careers,"5424 Highway 290 West, Suite 200",Austin,Texas
Cedar Valley College,3030 North Dallas Ave,Lancaster,Texas
Central Texas College,6200 West Central Texas Expressway,Killeen,Texas
Cisco College,101 College Heights,Cisco,Texas
Clarendon College,1122 College Drive,Clarendon,Texas
Concordia University-Texas,11400 Concordia University Dr.,Austin,Texas
North Central Texas College,1525 W California Street,Gainesville,Texas
Texas A & M University-Corpus Christi,6300 Ocean Dr.,Corpus Christi,Texas
Court Reporting Institute of Dallas,"1341 West Mokingbird Lane, Suite 200E",Dallas,Texas
Dallas Baptist University,3000 Mountain Creek Parkway,Dallas,Texas
Dallas Christian College,2700 Christian Pkwy.,Dallas,Texas
Dallas County Community College District,1601 South Lamar,Dallas,Texas
Dallas Institute of Funeral Service,3909 S Buckner Blvd,Dallas,Texas
Dallas Theological Seminary,3909 Swiss Ave,Dallas,Texas
University of Dallas,1845 E Northgate Drive,Irving,Texas
Del Mar College,101 Baldwin Blvd.,Corpus Christi,Texas
DeVry University-Texas,"4800 Regent Blvd., Suite 200",Irving,Texas
Career Point College,4522 Fredericksburg RD Suite A-18,San Antonio,Texas
East Texas Baptist University,One Tiger Drive,Marshall,Texas
Texas A & M University-Texarkana,7101 University Avenue,Texarkana,Texas
Texas A & M University-Commerce,2600 South Neal,Commerce,Texas
Eastfield College,3737 Motley Dr,Mesquite,Texas
El Centro College,801 Main Street,Dallas,Texas
El Paso Community College,9050 Viscount Blvd,El Paso,Texas
Western Technical College,9451 Diana Drive,El Paso,Texas
Western Technical College,9624 Plaza Circle,El Paso,Texas
Episcopal Theological Seminary of the Southwest,501 E. 32nd St.,Austin,Texas
South University-The Art Institute of Dallas,"8080 Park Lane, Suite 100",Dallas,Texas
Frank Phillips College,1301 W. Roosevelt St.,Borger,Texas
Galveston College,4015 Ave Q,Galveston,Texas
Grayson College,6101 Grayson Drive,Denison,Texas
Hallmark College,10401 IH 10 W,San Antonio,Texas
Hardin-Simmons University,2200 Hickory,Abilene,Texas
Trinity Valley Community College,100 Cardinal Drive,Athens,Texas
Hill College,112 Lamar Dr,Hillsboro,Texas
Houston Baptist University,7502 Fondren Rd,Houston,Texas
University of Houston-Clear Lake,2700 Bay Area Blvd,Houston,Texas
Houston Community College,3100 Main Street,Houston,Texas
University of Houston-Downtown,1 Main Street,Houston,Texas
University of Houston-Victoria,3007 N. Ben Wilson,Victoria,Texas
University of Houston,212 E. Cullen Building,Houston,Texas
Howard College,1001 Birdwell Lane,Big Spring,Texas
Howard Payne University,1000 Fisk St.,Brownwood,Texas
Huston-Tillotson University,900 Chicon St,Austin,Texas
University of the Incarnate Word,4301 Broadway,San Antonio,Texas
International Business College-El Paso,5700 Cromo,El Paso,Texas
International Business College-El Paso,5700 Cromo,El Paso,Texas
International Business College-El Paso,1155 N Zaragosa Rd  Suite 100,El Paso,Texas
ITT Technical Institute-Arlington,551 Ryan Plaza Dr,Arlington,Texas
