name,address,city,state
California Lutheran University,60 W Olsen Rd,Thousand Oaks,California
California Polytechnic State University-San Luis Obispo,1 Grand Ave.,San Luis Obispo,California
Alliant International University,10455 Pomerado Road,San Diego,California
California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,California
California State University-Stanislaus,One University Circle,Turlock,California
California State University-Chancellors Office,"Analytic Studies 401 Golden Shore, 6th Floor",Long Beach,California
California State University-San Bernardino,5500 University Pky,San Bernardino,California
California State Polytechnic University-Pomona,3801 West Temple Avenue,Pomona,California
California State University-Chico,First and Normal Sts,Chico,California
California State University-Dominguez Hills,1000 E Victoria St,Carson,California
California State University-Fresno,5241 N Maple Ave,Fresno,California
California State University-Fullerton,800 N State College Blvd,Fullerton,California
California State University-East Bay,25800 Carlos Bee Blvd,Hayward,California
California State University-Long Beach,1250 Bellflower Blvd,Long Beach,California
California State University-Los Angeles,5151 State University Dr,Los Angeles,California
California State University-Northridge,18111 Nordhoff St,Northridge,California
California State University-Sacramento,6000 J St,Sacramento,California
University of California-Berkeley,200 California Hall,Berkeley,California
University of California-Davis,One Shields Avenue,Davis,California
University of California-Irvine,501 Aldrich Hall,Irvine,California
University of California-Los Angeles,405 Hilgard Ave,Los Angeles,California
University of California-Riverside,900 University Ave,Riverside,California
University of California-San Diego,9500 Gilman Dr,La Jolla,California
University of California-San Francisco,500 Parnassus Ave,San Francisco,California
University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,California
University of California-Santa Cruz,1156 High St,Santa Cruz,California
Sofia University,1069 East Meadow Cr,Palo Alto,California
California Christian College,4881 E University Ave,Fresno,California
California College San Diego,6602 Convoy Court Ste 100,San Diego,California
Le Cordon Bleu College of Culinary Arts-San Francisco,350 Rhode Island Street,San Francisco,California
California Institute of the Arts,24700 W McBean Pky,Valencia,California
California Maritime Academy,200 Maritime Academy Dr,Vallejo,California
California Western School of Law,225 Cedar St,San Diego,California
Canada College,4200 Farm Hill Blvd.,Redwood City,California
College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,California
Casa Loma College-Van Nuys,6725 Kester Ave,Van Nuys,California
Cerritos College,11110 Alondra Blvd,Norwalk,California
Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,California
Chabot College,25555 Hesperian Blvd,Hayward,California
Chaffey College,5885 Haven Ave,Rancho Cucamonga,California
Chapman University,One University Dr.,Orange,California
Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,California
Concordia University-Irvine,1530 Concordia West,Irvine,California
San Diego Christian College,2100 Greenfield Dr,El Cajon,California
Church Divinity School of the Pacific,2451 Ridge Road,Berkeley,California
Citrus College,1000 W Foothill Blvd,Glendora,California
City College of San Francisco,50 Phelan Ave,San Francisco,California
Claremont Graduate University,150 E Tenth St,Claremont,California
Claremont McKenna College,500 E 9th St,Claremont,California
Coast Community College District Office,1370 Adams Ave.,Costa Mesa,California
Coastline Community College,11460 Warner Ave.,Fountain Valley,California
Cogswell College,1175 Bordeaux  Drive,Sunnyvale,California
Coleman University,8888 Balboa Ave,San Diego,California
Western University of Health Sciences,309 E 2nd St,Pomona,California
Columbia College,11600 Columbia College Dr,Sonora,California
Columbia College-Hollywood,18618 Oxnard St,Tarzana,California
El Camino College-Compton Center,1111 East Artesia Blvd.,Compton,California
Contra Costa Community College District Office,500 Court St,Martinez,California
Contra Costa College,2600 Mission Bell Dr,San Pablo,California
Cosumnes River College,8401 Center Parkway,Sacramento,California
Crafton Hills College,11711 Sand Canyon Road,Yucaipa,California
Cuesta College,Highway 1,San Luis Obispo,California
Cuyamaca College,900 Rancho San Diego Pky,El Cajon,California
Cypress College,9200 Valley View,Cypress,California
De Anza College,21250 Stevens Creek Blvd.,Cupertino,California
Dell'Arte International School of Physical Theatre,131 H Street,Blue Lake,California
College of the Desert,43-500 Monterey Ave,Palm Desert,California
Design Institute of San Diego,8555 Commerce Ave,San Diego,California
DeVry University-California,901 Corporate Center Dr,Pomona,California
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,California
Dominican University of California,50 Acacia Ave,San Rafael,California
Dominican School of Philosophy & Theology,2301 Vine Street,Berkeley,California
East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,California
El Camino Community College District,16007 Crenshaw Blvd,Torrance,California
Emperor's College of Traditional Oriental Medicine,"1807 Wilshire Blvd, Ste #200",Santa Monica,California
Empire College School of Business,3035 Cleveland Ave,Santa Rosa,California
Evergreen Valley College,3095 Yerba Buena Rd,San Jose,California
Fashion Institute of Design & Merchandising-Los Angeles,919 S Grand Ave,Los Angeles,California
Fashion Careers College,1923 Morena Blvd,San Diego,California
Fashion Institute of Design & Merchandising-San Francisco,55 Stockton St,San Francisco,California
Fashion Institute of Design & Merchandising-Orange County,17590 Gillette Avenue,Irvine,California
Feather River Community College District,570 Golden Eagle Ave,Quincy,California
Fielding Graduate University,2020 De La Vina St,Santa Barbara,California
Five Branches University,200 7th Avenue,Santa Cruz,California
Foothill College,12345 El Monte Rd,Los Altos Hills,California
Franciscan School of Theology,1712 Euclid Ave,Berkeley,California
Fresno City College,1101 E. University Ave,Fresno,California
Fresno Pacific University,1717 S Chestnut Ave,Fresno,California
Foothill-De Anza Community College District,12345 El Monte Rd,Los Altos Hills,California
Fuller Theological Seminary in California,135 N Oakland Ave,Pasadena,California
Fullerton College,321 E Chapman Avenue,Fullerton,California
